feature	patch	classe	f1-score
LPQ	5	4	0.6560846560846562
LPQ	5	4	0.42424242424242437
LPQ	5	4	0.738095238095238
LPQ	5	4	0.6111111111111109
LPQ	5	4	0.5460030165912518
LPQ	10	4	0.5605477107402652
LPQ	10	4	0.6071428571428572
LPQ	10	4	0.628846866889136
LPQ	10	4	0.6726190476190476
LPQ	10	4	0.2865761689291101
LPQ	1	5	0.3333333333333333
LPQ	1	5	0.5333333333333333
LPQ	1	5	0.5333333333333333
LPQ	1	5	0.5333333333333333
LPQ	1	5	0.5333333333333333
LPQ	3	5	0.6461538461538461
LPQ	3	5	0.5333333333333333
LPQ	3	5	0.5333333333333333
LPQ	3	5	0.8917748917748918
LPQ	3	5	0.8917748917748918
LPQ	5	5	0.5460030165912518
LPQ	5	5	0.7701863354037268
LPQ	5	5	0.7936507936507937
LPQ	5	5	0.8666666666666667
LPQ	5	5	0.5333333333333333
LPQ	10	5	0.5142857142857143
LPQ	10	5	0.8148148148148148
LPQ	10	5	0.7405731523378581
LPQ	10	5	0.49388209121245824
LPQ	10	5	0.5
LPQ	1	6	0.3333333333333333
LPQ	1	6	1.0
LPQ	1	6	0.6666666666666666
LPQ	1	6	0.6666666666666666
LPQ	1	6	0.16666666666666666
LPQ	3	6	0.6753246753246753
LPQ	3	6	0.5333333333333334
LPQ	3	6	0.5333333333333334
LPQ	3	6	0.6753246753246753
LPQ	3	6	0.882051282051282
LPQ	5	6	0.7333333333333335
LPQ	5	6	0.41148325358851673
LPQ	5	6	0.738095238095238
LPQ	5	6	0.5892857142857143
LPQ	5	6	0.5185185185185185
LPQ	10	6	0.6957637997432606
LPQ	10	6	0.6401515151515151
LPQ	10	6	0.6438095238095239
LPQ	10	6	0.6730462519936202
LPQ	10	6	0.24702380952380948
LPQ	1	7	0.16666666666666666
LPQ	1	7	0.5333333333333333
LPQ	1	7	1.0
LPQ	1	7	0.5333333333333333
LPQ	1	7	0.3333333333333333
LPQ	3	7	0.5666666666666667
